Year,Month,Total Dates, Total Places
2020, Jan, Stamford Town Center, 2
2020, Jan, PetSmart, 1
2020, Jan, Post Corner Pizza, 1
2020, Jan, Garcia's Flower Shop, 1
2020, Jan, 66 Summer, 1
2020, Jan, The Home Depot, 1
2020, Jan, Hindley Elementary School, 1
2020, Jan, Ox Ridge Elementary School, 1
2020, Jan, DOCS Urgent Care - Norwalk, 1
2020, Jan, Standard, 1
2020, Jan, FOOD BAG, 1
2020, Jan, Glenbrook Shopping Center, 1
2020, Jan, Walgreens, 1
2020, Jan, Ring's End, 1
2020, Jan, United States Postal Service, 1
2020, Jan, CVS, 1
2020, Jan, Chéz Ernie's Cafe, 1
2020, Jan, Atria Darien, 1
2020, Jan, Noroton Heights, 1
2020, Jan, Darien Sport Shop, 1
2020, Jan, Weed Beach Tennis, 1
2020, Jan, Chick-fil-A, 1
2020, Jan, Colony Grill, 1
2020, Jan, Caffè Nero, 1
2020, Jan, Washington Prime, 1
2020, Jan, Post Road Plaza, 1
2020, Jan, Vinny's Backyard Restaurant and Bar, 1
2020, Jan, ShopRite of Shippan Ave- Stamford, CT, 1
2020, Jan, Taco Bell, 1
2020, Jan, Marshalls, 1
2020, Jan, Michaels, 1
2020, Jan, Stop & Shop, 1
2020, Jan, Fairway Market Stamford, 1
2020, Jan, Mike's Ristorante, 1
2020, Feb, 9 Shipway Rd(Rental), 77
2020, Feb, Dermatologist(Contract Work), 29
2020, Feb, Darien Sport Shop, 6
2020, Feb, Middlesex Middle School, 5
2020, Feb, Darien High School, 5
2020, Feb, 43 Blueberry Ln, 5
2020, Feb, Darinor Plaza, 4
2020, Feb, ShopRite of Shippan Ave- Stamford, CT, 3
2020, Feb, Darien, 3
2020, Feb, Glenbrook Shopping Center, 3
2020, Feb, Goodwives Shopping Center, 3
2020, Feb, Weed Beach Tennis, 3
2020, Feb, DoubleTree by Hilton Hotel Norwalk, 2
2020, Feb, The Home Depot, 2
2020, Feb, Noroton Heights, 2
2020, Feb, Colony Grill, 2
2020, Feb, Shake Shack, 1
2020, Feb, 2 Mansfield Pl, 1
2020, Feb, Garcia's Flower Shop, 1
2020, Feb, FedEx Office Print & Ship Center, 1
2020, Feb, BonBon Hair Studio, 1
2020, Feb, ShopRite of Norwalk, 1
2020, Feb, Jennifer's Kitchen @ White Bridge, 1
2020, Feb, Piedmont Associates Inc, 1
2020, Feb, The Melting Pot, 1
2020, Feb, Stamford Town Center, 1
2020, Feb, Walmart, 1
2020, Feb, Weed Beach, 1
2020, Feb, E Putnam Ave and Strickland Rd, 1
2020, Feb, Taco Bell, 1
2020, Feb, 121 Middlesex Rd, 1
2020, Feb, Stamford Barbershop, 1
2020, Feb, Bow Tie Cinemas Regent, 1
2020, Feb, The Campus, 1
2020, Feb, Stamford Hospital - Bennett Medical Center, 1
2020, Feb, Revive Center For Wellness, 1
2020, Feb, 10 Wall Street, 1
2020, Feb, Children's Medical Group of Greenwich, 1
2020, Feb, Ox Ridge Elementary School, 1
2020, Feb, Darien Valero, 1
2020, Feb, Flashtalking, Inc., 1
2020, Feb, Casa Villa Restaurant, 1
2020, Feb, Lowe's Home Improvement, 1
2020, Mar, 9 Shipway Rd(Rental), 63
2020, Mar, Dermatologist(Contract work), 14
2020, Mar, 43 Blueberry Ln, 8
2020, Mar, Goodwives Shopping Center, 5
2020, Mar, Noroton Heights, 5
2020, Mar, Darien High School, 5
2020, Mar, Darien, 3
2020, Mar, Middlesex Middle School, 2
2020, Mar, The Home Depot, 2
2020, Mar, ShopRite of Shippan Ave- Stamford, CT, 2
2020, Mar, Nick's Pizza, 1
2020, Mar, Woodland Park, 1
2020, Mar, Springdale Barber Shop, 1
2020, Mar, Mystique Stamford, 1
2020, Mar, Stamford Health - Tully Health Center, 1
2020, Mar, Andrew Shaw Memorial Scout Cabin, 1
2020, Mar, Quest Diagnostics Darien, 1
2020, Mar, Taco Bell, 1
2020, Mar, Darien Sport Shop, 1
2020, Mar, Holly Pond Plaza, 1
2020, Mar, FedEx Office Print & Ship Center, 1
2020, Mar, Winfield Street Coffee - Stamford, 1
2020, Mar, Darien Library, 1
2020, Mar, Sinigual, 1
2020, Mar, 42 St-Bryant Park Station, 1
2020, Mar, Grand Central Terminal, 1
2020, Mar, Walmart, 1
2020, Mar, DICK'S Sporting Goods, 1
2020, Mar, The Hideaway Kitchen & Bar, 1
2020, Mar, Hindley Elementary School, 1
2020, Mar, 151 West Ave, 1
2020, Mar, Deborah Noonan, 1
2020, Mar, Starbucks, 1
2020, Mar, 9 Loughlin Ave, 1
2020, Mar, 70 Sinawoy Rd, 1
2020, Mar, Bruce Park Grill, 1
2020, Mar, 59 Sinawoy Rd, 1
2020, Mar, Darinor Plaza, 1
2020, Mar, 50 Washington St, 1
2020, Mar, Shake Shack, 1
2020, Mar, CVS, 1
2020, Mar, Glenbrook Shopping Center, 1
2020, Apr, 9 Shipway Rd(Rental), 36
2020, Apr, 43 Blueberry Ln, 27
2020, Apr, Darien, 5
2020, Apr, Goodwives Shopping Center, 3
2020, Apr, Stop & Shop, 3
2020, Apr, The Home Depot, 2
2020, Apr, 240 Seaside Ave, 2
2020, Apr, 24 Hanson Rd, 1
2020, Apr, Chick-fil-A, 1
2020, Apr, Weed Beach Tennis, 1
2020, Apr, ShopRite of Shippan Ave- Stamford, CT, 1
2020, May, 43 Blueberry Ln, 34
2020, May, 9 Shipway Rd(Rental), 33
2020, May, Darien, 6
2020, May, The Home Depot, 4
2020, May, Goodwives Shopping Center, 3
2020, May, Weed Beach Tennis, 2
2020, May, Stop & Shop, 2
2020, May, ShopRite of Norwalk, 1
2020, May, 240 Seaside Ave, 1
2020, May, Shake Shack, 1
2020, May, Noroton Heights, 1
2020, May, Walmart, 1
2020, Jun, 43 Blueberry Ln, 53
2020, Jun, 9 Shipway Rd(Rental), 38
2020, Jun, Darien, 5
2020, Jun, Roton Point, 5
2020, Jun, The Home Depot, 3
2020, Jun, Waveny Park, 3
2020, Jun, Stop & Shop, 2
2020, Jun, Goodwives Shopping Center, 2
2020, Jun, Chipotle Mexican Grill, 2
2020, Jun, Jennifer's Kitchen @ White Bridge, 2
2020, Jun, SPRINGDALE SHOPPING CENTER, 1
2020, Jun, Scoops & Smiles Ice Cream Shop, 1
2020, Jun, Danny's Cycles Darien, 1
2020, Jun, Johnny's & Company, 1
2020, Jun, Gofer Ice Cream, 1
2020, Jun, Camp Avenue Car Wash, 1
2020, Jun, ShopRite of Commerce St.-Stamford, CT, 1
2020, Jun, Glenbrook Shopping Center, 1
2020, Jun, Walgreens, 1
2020, Jun, 2075 Boston Post Rd, 1
2020, Jun, Post Road Plaza, 1
2020, Jun, NORWALK MEDICAL CENTER, 1
2020, Jun, Heights Pizza Company, 1
2020, Jun, Stamford Health - Tully Health Center, 1
2020, Jun, CVS, 1
2020, Jul, 43 Blueberry Ln, 83
2020, Jul, 9 Shipway Rd(Rental), 46
2020, Jul, Royle Elementary School(Camp), 9
2020, Jul, Waveny Park, 5
2020, Jul, Vibe Fitness, 5
2020, Jul, Stop & Shop, 5
2020, Jul, Roton Point, 4
2020, Jul, Darien, 3
2020, Jul, Darien High School, 3
2020, Jul, Dr. Gallois Orthodontics, 3
2020, Jul, Connecticut Sportsplex, 3
2020, Jul, 138 Ridgefield Rd, 3
2020, Jul, Enterprise Rent-A-Car, 2
2020, Jul, The Home Depot, 2
2020, Jul, Wooster School, 2
2020, Jul, Toyota of Stamford, 2
2020, Jul, Wetmore's Chrysler Jeep Dodge RAM, 2
2020, Jul, NORWALK MEDICAL CENTER, 1
2020, Jul, Hindley Elementary School, 1
2020, Jul, Cafe Silvium, 1
2020, Jul, United States Postal Service, 1
2020, Jul, Fresh Green Light Driving School, 1
2020, Jul, Danny's Cycles Darien, 1
2020, Jul, Briggs Tire, 1
2020, Jul, Chase Bank, 1
2020, Jul, 157 Parmelee Hill Rd, 1
2020, Jul, Shipway Road, 1
2020, Jul, McDonald's, 1
2020, Jul, CALVERT CITGO, 1
2020, Jul, Calvert Regional Park, 1
2020, Jul, Playa Bowls, 1
2020, Jul, Ring's End, 1
2020, Jul, CVS, 1
2020, Jul, ShopRite of East Haven, 1
2020, Jul, JCakes, 1
2020, Jul, Anthony John's Pizzeria, 1
2020, Jul, Danbury Fair, 1
2020, Jul, 9 Colony Rd, 1
2020, Jul, 27 Ox Ridge Ln, 1
2020, Jul, H & L Chevrolet, 1
2020, Jul, Gofer Ice Cream, 1
2020, Jul, Chick-fil-A, 1
2020, Jul, Goodwives Shopping Center, 1
2020, Aug, 43 Blueberry Ln, 80
2020, Aug, 9 Shipway Rd(Rental), 18
2020, Aug, Flashtalking(Work), 12
2020, Aug, Goodwives Shopping Center, 6
2020, Aug, Royle Elementary School(Football Practice), 5
2020, Aug, Residence Inn by Marriott Philadelphia Glen Mills/Concordville, 5
2020, Aug, CVS, 3
2020, Aug, Bayley Beach, 3
2020, Aug, Stamford Town Center, 3
2020, Aug, Darien, 3
2020, Aug, Shell, 3
2020, Aug, Darien High School, 3
2020, Aug, MSI, 3
2020, Aug, Stop & Shop, 2
2020, Aug, Glenbrook Shopping Center, 2
2020, Aug, 2 Stephanie Ln, 2
2020, Aug, The Home Depot, 2
2020, Aug, ONS Stamford, 2
2020, Aug, 99 Allen St, 2
2020, Aug, ShopRite of Norwalk, 1
2020, Aug, Laundry Room Greenwich CT, 1
2020, Aug, P.C. Richard & Son, 1
2020, Aug, 2 Sylvan Rd, 1
2020, Aug, BlueStreak Sports Training, 1
2020, Aug, Michele Levy, OD, 1
2020, Aug, Lowe's Home Improvement, 1
2020, Aug, ZARA, 1
2020, Aug, NORWALK MEDICAL CENTER, 1
2020, Aug, 291 Carter St, 1
2020, Aug, Gulf, 1
2020, Aug, 9 Hunt Rd, 1
2020, Aug, A Ryuji Funakoshi, 1
2020, Aug, Darinor Plaza, 1
2020, Aug, Splash Car Wash, 1
2020, Aug, Post Road Plaza, 1
2020, Aug, Concordville Town Centre, 1
2020, Aug, Glen Eagle Square, 1
2020, Aug, Larkin's Corner, 1
2020, Sep, 43 Blueberry Ln, 95
2020, Sep, Royle Elementary School(Football Practice), 12
2020, Sep, 9 Shipway Rd(Rental), 9
2020, Sep, Goodwives Shopping Center, 8
2020, Sep, Darien High School, 6
2020, Sep, CVS, 3
2020, Sep, Children's Medical Group of Greenwich, 3
